target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,claim_id,claim_text,claim_type,claim_population,claim_indication,claim_endpoint,evidence_pmid,evidence_title,evidence_endpoint,evidence_population,evidence_device,evidence_indication,endpoint_match,population_match,indication_match,device_match,directness,evidence_support_type,support_strength,limitation,contradiction_flag,semantic_rationale
F,U2,S8,semantic_support,claim_evidence_semantic_support,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Claim/Evidence,The device achieves stone-free rate of 87.5%,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: strong,CLAIM_V3F_0001,The device achieves stone-free rate of 87.5%,efficacy,Adults with kidney stones,Nephrolithiasis,Stone-free rate,PMID_V3F_0001,Evidence for Stone-free rate,Stone-free rate,Adults with kidney stones,Same device,Nephrolithiasis,yes,yes,yes,yes,direct,direct,strong,,no,Exact match on all dimensions
F,U2,S8,semantic_support,claim_evidence_semantic_support,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Claim/Evidence,Hemostasis achieved in 94.4% of procedures,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: strong,CLAIM_V3F_0002,Hemostasis achieved in 94.4% of procedures,efficacy,Surgical patients,Intraoperative bleeding,Hemostasis success,PMID_V3F_0002,Evidence for Hemostasis success,Hemostasis success,Surgical patients,Same device,Intraoperative bleeding,yes,yes,yes,yes,direct,direct,strong,,no,Exact match on all dimensions
F,U2,S8,semantic_support,claim_evidence_semantic_support,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Claim/Evidence,CGM improves time in range by 15%,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: moderate,CLAIM_V3F_0003,CGM improves time in range by 15%,efficacy,Type 1 diabetes,Diabetes mellitus,Time in range,PMID_V3F_0003,Evidence for Time in range,Time in range,Type 1 diabetes,Same device,Diabetes mellitus,yes,yes,yes,yes,direct,direct,moderate,Small sample,no,Endpoint and population match; moderate strength due to single-arm design
F,U2,S8,semantic_support,claim_evidence_semantic_support,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,Claim/Evidence,Technical success rate of 95.8%,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: strong,CLAIM_V3F_0004,Technical success rate of 95.8%,efficacy,Peripheral artery disease,PAD,Technical success,PMID_V3F_0004,Evidence for Technical success,Technical success,PAD patients,Same device,PAD,yes,yes,yes,yes,direct,direct,strong,,no,Exact match on all dimensions
F,U2,S8,semantic_support,claim_evidence_semantic_support,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_002,Project 002,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/CER/*,Claim/Evidence,FFR measurement accuracy 89.3%,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: strong,CLAIM_V3F_0005,FFR measurement accuracy 89.3%,performance,Coronary disease,CAD assessment,Diagnostic accuracy,PMID_V3F_0005,Evidence for Diagnostic accuracy,Diagnostic accuracy,Coronary disease,Same device,CAD assessment,yes,yes,yes,yes,direct,direct,strong,,no,Exact match on all dimensions
F,U2,S8,semantic_support,claim_evidence_semantic_support,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_003,Project 003,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_*/CER/*,Claim/Evidence,Device reduces MACE by 35%,extracted_from_report,medium,calibration_only,yes,Directness: indirect; support: weak,CLAIM_V3F_0006,Device reduces MACE by 35%,efficacy,Coronary disease,CAD,MACE reduction,PMID_V3F_0006,Evidence for MACE reduction,MACE reduction,Mixed cardiovascular,Different generation,CAD,yes,partial,yes,partial,indirect,indirect,weak,Small sample,no,Different device generation and broader population; indirect evidence
F,U2,S8,semantic_support,claim_evidence_semantic_support,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_011,Project 011,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,Claim/Evidence,Implant survival 96.2% at 5 years,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: moderate,CLAIM_V3F_0007,Implant survival 96.2% at 5 years,safety,Hip replacement,OA,Implant survival,PMID_V3F_0007,Evidence for Implant survival,Implant survival,Hip replacement,Same device,OA,yes,yes,yes,yes,direct,direct,moderate,Small sample,no,5-year data available; moderate due to limited sample
F,U2,S8,semantic_support,claim_evidence_semantic_support,stress,semantic_test,HEURISTIC_ONLY,PROJECT_033,Project 033,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/CER/*,Claim/Evidence,CGM reduces hypoglycemia by 28%,extracted_from_report,medium,calibration_only,yes,Directness: indirect; support: weak,CLAIM_V3F_0008,CGM reduces hypoglycemia by 28%,efficacy,Type 1 diabetes,Diabetes,Hypoglycemia reduction,PMID_V3F_0008,Evidence for Hypoglycemia reduction,Hypoglycemia rate,Type 1+Type 2 mixed,Competitor device,Diabetes,partial,partial,yes,no,indirect,indirect,weak,Small sample,no,Competitor device evidence used; population mixed; weak support
F,U2,S8,semantic_support,claim_evidence_semantic_support,stress,semantic_test,HEURISTIC_ONLY,PROJECT_007,Project 007,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*/CER/*,Claim/Evidence,Device accuracy exceeds 90%,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: weak,CLAIM_V3F_0009,Device accuracy exceeds 90%,performance,General population,Measurement,Accuracy,PMID_V3F_0009,Evidence for Accuracy,Accuracy,Small sample (n=20),Same device,Measurement,yes,partial,yes,yes,direct,direct,weak,Small sample,no,Small sample size (n=20) limits strength of evidence
F,U2,S8,semantic_support,claim_evidence_semantic_support,stress,semantic_test,HEURISTIC_ONLY,PROJECT_028,Project 028,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_028_*/CER/*,Claim/Evidence,Visual acuity improves in 76.5%,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: moderate,CLAIM_V3F_0010,Visual acuity improves in 76.5%,efficacy,Glaucoma patients,Glaucoma,Visual acuity improvement,PMID_V3F_0010,Evidence for Visual acuity improvement,Visual acuity,Glaucoma,Same device,Glaucoma,yes,yes,yes,yes,direct,direct,moderate,Small sample,no,Single-arm study; moderate strength
F,U2,S8,semantic_support,claim_evidence_semantic_support,special_evidence,semantic_test,HEURISTIC_ONLY,PROJECT_023,Project 023,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/CER/*,Claim/Evidence,Weaning success 68.8%,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: moderate,CLAIM_V3F_0011,Weaning success 68.8%,efficacy,Cardiogenic shock,Heart failure,Weaning success,PMID_V3F_0011,Evidence for Weaning success,Weaning success,Cardiogenic shock,Same device,Heart failure,yes,yes,yes,yes,direct,direct,moderate,Small sample,no,Small cohort (n=32); moderate strength
F,U2,S8,semantic_support,claim_evidence_semantic_support,stress,semantic_test,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,Claim/Evidence,30-day survival 45%,extracted_from_report,medium,calibration_only,yes,Directness: direct; support: strong,CLAIM_V3F_0012,30-day survival 45%,efficacy,Cardiac arrest,Cardiac arrest,30-day survival,PMID_V3F_0012,Evidence for 30-day survival,30-day survival,Cardiac arrest,Same device,Cardiac arrest,yes,yes,yes,yes,direct,direct,strong,,no,Claim matches evidence; no contradiction
