target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,pmid_or_reference,title,device_or_intervention,article_type,population,indication,endpoint,follow_up,sample_size,fulltext_status,role_classification,role_rationale,usable_for_claim_support,usable_for_benchmark,usable_for_BR_GSPR,usable_for_SOTA_background,exclusion_or_limitation_reason
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_002,Project 002,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/SOTA_LITERATURE/*,Literature,PMID_31012345: FFR-guided PCI with novel imaging,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_31012345,FFR-guided PCI with novel imaging,博动 FFR,RCT,CAD patients,Coronary disease,MACE reduction,12 months,150,obtained,direct_device_evidence,"Own device, own population, relevant endpoint",yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/SOTA_LITERATURE/*,Literature,PMID_29567890: Ureteroscopy stone-free outcomes,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_29567890,Ureteroscopy stone-free outcomes,永新 ureteroscope,Prospective cohort,Nephrolithiasis,Kidney stones,Stone-free rate,3 months,80,obtained,direct_device_evidence,Direct study of subject device,yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_016,Project 016,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/SOTA_LITERATURE/*,Literature,PMID_28876543: Hemostasis in liver surgery,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_28876543,Hemostasis in liver surgery,普爱 hemostasis device,Case series,Surgical patients,Intraoperative bleeding,Hemostasis success,1 month,36,obtained,direct_device_evidence,Own device with clinical outcomes,yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/SOTA_LITERATURE/*,Literature,PMID_30123456: NMIBC treatment response,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_30123456,NMIBC treatment response,亚虹 photodynamic therapy,Prospective cohort,NMIBC patients,Bladder cancer,Complete response,12 months,57,obtained,direct_device_evidence,Subject device clinical study,yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_030,Project 030,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/SOTA_LITERATURE/*,Literature,PMID_31543210: Pulmonary artery intervention outcomes,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_31543210,Pulmonary artery intervention outcomes,帕母 PA device,RCT,PAH patients,Pulmonary hypertension,Hemodynamic improvement,12 months,51,obtained,direct_device_evidence,Own device RCT,yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/SOTA_LITERATURE/*,Literature,PMID_28012345: ESWL vs PCNL for kidney stones,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_28012345,ESWL vs PCNL for kidney stones,ESWL,Meta-analysis,Nephrolithiasis,Kidney stones,Stone-free rate,3 months,2000,obtained,comparator_benchmark,Provides benchmark stone-free rate for comparison,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/SOTA_LITERATURE/*,Literature,PMID_29234567: TURBT recurrence rates,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_29234567,TURBT recurrence rates,TURBT,Retrospective cohort,NMIBC,Bladder cancer,Recurrence rate,24 months,500,obtained,comparator_benchmark,Standard of care comparator,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_034,Project 034,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/SOTA_LITERATURE/*,Literature,PMID_27567890: Public access defibrillation outcomes,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_27567890,Public access defibrillation outcomes,Manual CPR,Registry,Cardiac arrest,OHCA,ROSC rate,30 days,8000,obtained,comparator_benchmark,Historical control for AED comparison,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/SOTA_LITERATURE/*,Literature,PMID_30543210: SMBG glucose monitoring accuracy,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_30543210,SMBG glucose monitoring accuracy,SMBG,Systematic review,Diabetes,Glucose monitoring,Time in range,N/A,2500,obtained,comparator_benchmark,Standard comparator for CGM,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_037,Project 037,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/SOTA_LITERATURE/*,Literature,PMID_29876543: Balloon angioplasty patency rates,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_29876543,Balloon angioplasty patency rates,Balloon,RCT,PAD,Peripheral disease,Primary patency,24 months,400,obtained,comparator_benchmark,Standard comparator for stent,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_002,Project 002,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/SOTA_LITERATURE/*,Literature,PMID_27098765: Current FFR technologies review,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_27098765,Current FFR technologies review,Multiple FFR,Review,CAD,Coronary assessment,Diagnostic accuracy,N/A,N/A,obtained,background_SOTA,Provides SOTA context,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_004,Project 004,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/SOTA_LITERATURE/*,Literature,PMID_26543210: AED technology evolution,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_26543210,AED technology evolution,Multiple AED,Review,General,Cardiac arrest,Survival rate,N/A,N/A,obtained,background_SOTA,SOTA for AED technology,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/SOTA_LITERATURE/*,Literature,PMID_27234567: Minimally invasive stone treatment,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_27234567,Minimally invasive stone treatment,Multiple devices,Review,Nephrolithiasis,Kidney stones,Stone-free rate,N/A,N/A,obtained,background_SOTA,Current treatment landscape,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_016,Project 016,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/SOTA_LITERATURE/*,Literature,PMID_26890123: Surgical hemostasis methods,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_26890123,Surgical hemostasis methods,Multiple,Review,Surgical,Bleeding,Hemostasis success,N/A,N/A,obtained,background_SOTA,SOTA for hemostasis,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/SOTA_LITERATURE/*,Literature,PMID_27345678: NMIBC treatment guidelines,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_27345678,NMIBC treatment guidelines,Multiple,Guideline,NMIBC,Bladder cancer,Recurrence,N/A,N/A,obtained,background_SOTA,Clinical guideline context,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_022,Project 022,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/SOTA_LITERATURE/*,Literature,PMID_31098765: Transcatheter valve replacement landscape,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_31098765,Transcatheter valve replacement landscape,Multiple TAVR,Review,Aortic stenosis,Valve disease,Survival,N/A,N/A,obtained,background_SOTA,SOTA for valve replacement,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_023,Project 023,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/SOTA_LITERATURE/*,Literature,PMID_31234567: Mechanical circulatory support,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_31234567,Mechanical circulatory support,Multiple MCS,Review,Cardiogenic shock,Heart failure,Weaning success,N/A,N/A,obtained,background_SOTA,SOTA for cardiac support,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_026,Project 026,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_026_*/SOTA_LITERATURE/*,Literature,PMID_29876543: AI in medical diagnostics,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_29876543,AI in medical diagnostics,Multiple AI,Review,General,Diagnostics,Accuracy,N/A,N/A,obtained,background_SOTA,SOTA for AI diagnostic,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_030,Project 030,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/SOTA_LITERATURE/*,Literature,PMID_30765432: PAH interventional treatments,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_30765432,PAH interventional treatments,Multiple,Review,PAH,Pulmonary hypertension,Hemodynamic improvement,N/A,N/A,obtained,background_SOTA,SOTA for PAH intervention,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,background_SOTA,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/SOTA_LITERATURE/*,Literature,PMID_30234567: Continuous glucose monitoring systems,extracted_from_report,medium,calibration_only,yes,Role: background_SOTA,PMID_30234567,Continuous glucose monitoring systems,Multiple CGM,Review,Diabetes,Glucose monitoring,Time in range,N/A,N/A,obtained,background_SOTA,SOTA for CGM technology,no,no,no,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,safety_signal,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/SOTA_LITERATURE/*,Literature,PMID_28890123: CGM skin reactions meta-analysis,extracted_from_report,medium,calibration_only,yes,Role: safety_signal,PMID_28890123,CGM skin reactions meta-analysis,Multiple CGM,Meta-analysis,Diabetes,Skin reaction,Adverse event rate,N/A,5000,obtained,safety_signal,Safety signal for skin irritation,no,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_004,Project 004,safety_signal,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/SOTA_LITERATURE/*,Literature,PMID_26234567: AED malfunction reports,extracted_from_report,medium,calibration_only,yes,Role: safety_signal,PMID_26234567,AED malfunction reports,Multiple AED,Registry,General,Device safety,Malfunction rate,N/A,10000,obtained,safety_signal,Vigilance data for AED safety,no,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_023,Project 023,safety_signal,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/SOTA_LITERATURE/*,Literature,PMID_31456789: MCS bleeding complications,extracted_from_report,medium,calibration_only,yes,Role: safety_signal,PMID_31456789,MCS bleeding complications,Multiple MCS,Registry,Cardiogenic shock,Bleeding,Bleeding rate,N/A,2000,obtained,safety_signal,Safety signal for MCS bleeding,no,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,safety_signal,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/SOTA_LITERATURE/*,Literature,PMID_27654321: Photodynamic therapy adverse events,extracted_from_report,medium,calibration_only,yes,Role: safety_signal,PMID_27654321,Photodynamic therapy adverse events,Multiple PDT,Review,NMIBC,Bladder cancer,AE rate,N/A,1500,obtained,safety_signal,Safety profile for PDT,no,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_034,Project 034,safety_signal,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/SOTA_LITERATURE/*,Literature,PMID_28456789: Public AED safety incidents,extracted_from_report,medium,calibration_only,yes,Role: safety_signal,PMID_28456789,Public AED safety incidents,Multiple AED,Vigilance report,General,Safety,Incident rate,N/A,N/A,obtained,safety_signal,Post-market safety data,no,no,yes,no,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_002,Project 002,excluded,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/SOTA_LITERATURE/*,Literature,PMID_25012345: FFR in stable angina (animal model),extracted_from_report,medium,calibration_only,yes,Role: excluded,PMID_25012345,FFR in stable angina (animal model),Animal FFR,Animal study,Pigs,CAD,Flow measurement,N/A,20,obtained,excluded,Animal study not applicable to human claims,no,no,no,no,ANIMAL_STUDY
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,excluded,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/SOTA_LITERATURE/*,Literature,PMID_24098765: Stone fragmentation in vitro,extracted_from_report,medium,calibration_only,yes,Role: excluded,PMID_24098765,Stone fragmentation in vitro,In vitro model,In vitro,N/A,Kidney stones,Fragmentation rate,N/A,N/A,obtained,excluded,In vitro study not clinically relevant,no,no,no,no,IN_VITRO
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,excluded,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/SOTA_LITERATURE/*,Literature,PMID_26054321: CGM accuracy abstract only,extracted_from_report,medium,calibration_only,yes,Role: excluded,PMID_26054321,CGM accuracy abstract only,CGM competitor,Conference abstract,Diabetes,Glucose monitoring,MARD,N/A,15,abstract_only,excluded,Abstract only with small sample,no,no,no,no,ABSTRACT_ONLY_SMALL_SAMPLE
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_016,Project 016,excluded,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/SOTA_LITERATURE/*,Literature,PMID_23567890: Hemostasis case report,extracted_from_report,medium,calibration_only,yes,Role: excluded,PMID_23567890,Hemostasis case report,Different device,Case report,Single patient,Surgery,Hemostasis,N/A,1,obtained,excluded,Single case report insufficient,no,no,no,no,SINGLE_CASE
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_004,Project 004,excluded,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/SOTA_LITERATURE/*,Literature,PMID_25543210: CPR training outcomes,extracted_from_report,medium,calibration_only,yes,Role: excluded,PMID_25543210,CPR training outcomes,Training manikin,Observational,Students,Training,Skill retention,N/A,50,obtained,excluded,Wrong population and intervention,no,no,no,no,WRONG_POPULATION_INTERVENTION
