project_id,project_name,source_path,device_type,has_CER,has_SOTA,has_literature_pack,has_fulltext_pdf,has_DOCX_tables,has_PDF_tables,has_clinical_data_tables,has_endpoint_tables,has_AE_tables,has_followup_data,has_subgroup_data,has_denominator_examples,has_benchmark_data,has_claim_support_data,has_validation_value,dataset_role,selection_reason,evidence_basis,confidence,notes
PROJECT_001_项目复盘,001 项目复盘,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_001_项目复盘,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,yes,no,unknown,exclude,excluded_master_index,,high,"files=1997, pdf=1450, docx=385, cer=118, sota=562"
PROJECT_002_上海博动,002 上海博动,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_上海博动,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,medium,stress,"score=16, rich_clinical_data",,high,"files=2830, pdf=1738, docx=800, cer=44, sota=26"
PROJECT_003_上海谱创,003 上海谱创,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,high,calibration,"score=18, rich_clinical_data",,high,"files=6150, pdf=3278, docx=2280, cer=1285, sota=579"
PROJECT_004_久心科技,004 久心科技,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_久心科技,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,yes,yes,high,special_evidence,"score=15, rich_clinical_data",,high,"files=432, pdf=323, docx=86, cer=426, sota=291"
PROJECT_005_北京海杰亚,005 北京海杰亚,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_005_北京海杰亚,ablation_system,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,unknown,unknown,,,high,"files=1435, pdf=997, docx=325, cer=32, sota=651"
PROJECT_006_广州瑞博,006 广州瑞博,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_006_广州瑞博,medical_device,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=401, pdf=252, docx=101, cer=228, sota=154"
PROJECT_007_力康华耀,007 力康华耀,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_力康华耀,medical_device,yes,yes,maybe,maybe,yes,no,maybe,no,yes,yes,no,maybe,no,no,unknown,unknown,,,high,"files=35, pdf=8, docx=15, cer=2, sota=6"
PROJECT_008_南京德文,008 南京德文,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_008_南京德文,medical_device,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=1369, pdf=604, docx=458, cer=4, sota=11"
PROJECT_009_上海形状,009 上海形状,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_009_上海形状,medical_device,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=455, pdf=385, docx=27, cer=370, sota=226"
PROJECT_010_德莱森（北京）,010 德莱森（北京）,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_010_德莱森（北京）,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,unknown,unknown,,,high,"files=1771, pdf=1340, docx=313, cer=56, sota=4"
PROJECT_011_浙江景嘉,011 浙江景嘉,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_浙江景嘉,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,medium,stress,"score=16, rich_clinical_data",,high,"files=4246, pdf=3007, docx=759, cer=1278, sota=225"
PROJECT_012_成都永新,012 成都永新,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_成都永新,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,yes,yes,unknown,unknown,,,high,"files=2312, pdf=1563, docx=406, cer=59, sota=422"
PROJECT_013_江苏臣诺,013 江苏臣诺,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_013_江苏臣诺,dental,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,unknown,unknown,,,high,"files=2079, pdf=1355, docx=504, cer=174, sota=119"
PROJECT_014_江西三鑫,014 江西三鑫,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_014_江西三鑫,dialysis,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,yes,yes,unknown,unknown,,,high,"files=1613, pdf=631, docx=595, cer=122, sota=63"
PROJECT_015_江苏无右,015 江苏无右,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_015_江苏无右,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,high,holdout,"score=16, rich_clinical_data",,high,"files=1749, pdf=1007, docx=586, cer=275, sota=128"
PROJECT_016_南京普爱,016 南京普爱,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱,imaging,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,high,calibration,"score=18, rich_clinical_data",,high,"files=6511, pdf=3437, docx=1371, cer=680, sota=410"
PROJECT_017_湖南菁益,017 湖南菁益,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,high,calibration,"score=18, rich_clinical_data",,high,"files=7093, pdf=4745, docx=1537, cer=409, sota=2841"
PROJECT_018_中科迈德,018 中科迈德,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_018_中科迈德,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,unknown,unknown,,,high,"files=2304, pdf=742, docx=1081, cer=12, sota=2"
PROJECT_019_江苏亚虹,019 江苏亚虹,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_江苏亚虹,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,high,calibration,"score=17, rich_clinical_data",,high,"files=4164, pdf=2396, docx=1478, cer=187, sota=555"
PROJECT_020_苏州肺盾,020 苏州肺盾,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_020_苏州肺盾,lung_device,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,unknown,unknown,,,high,"files=877, pdf=579, docx=263, cer=209, sota=372"
PROJECT_021_青岛德迈迪,021 青岛德迈迪,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_021_青岛德迈迪,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,unknown,unknown,,,high,"files=2394, pdf=1754, docx=492, cer=335, sota=379"
PROJECT_022_宁波健世,022 宁波健世,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_宁波健世,implant_device,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,unknown,unknown,,,high,"files=2303, pdf=1675, docx=418, cer=25, sota=0"
PROJECT_023_心擎,023 心擎,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_心擎,implant_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,high,calibration,"score=19, rich_clinical_data",,high,"files=5783, pdf=1609, docx=3453, cer=496, sota=137"
PROJECT_024_深圳无忧跳动,024 深圳无忧跳动,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_深圳无忧跳动,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,high,holdout,"score=16, rich_clinical_data",,high,"files=1137, pdf=510, docx=223, cer=10, sota=31"
PROJECT_025_北京灵泽,025 北京灵泽,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_北京灵泽,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=3770, pdf=1122, docx=1077, cer=1134, sota=296"
PROJECT_026_苏州体素,026 苏州体素,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_026_苏州体素,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,maybe,yes,yes,high,holdout,"score=16, rich_clinical_data",,high,"files=1440, pdf=372, docx=821, cer=30, sota=2"
PROJECT_027_珠海普利得（遗留）,027 珠海普利得（遗留）,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_027_珠海普利得（遗留）,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,no,no,unknown,unknown,,,high,"files=2944, pdf=2296, docx=467, cer=676, sota=387"
PROJECT_028_江苏盖睿,028 江苏盖睿,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_028_江苏盖睿,medical_device,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=196, pdf=94, docx=58, cer=9, sota=38"
PROJECT_029_苏州心擎,029 苏州心擎,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_029_苏州心擎,implant_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,no,yes,unknown,unknown,,,high,"files=468, pdf=175, docx=268, cer=16, sota=101"
PROJECT_030_无锡帕母,030 无锡帕母,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_无锡帕母,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,high,calibration,"score=17, rich_clinical_data",,high,"files=11434, pdf=7722, docx=2908, cer=502, sota=3102"
PROJECT_031_上海凯联 新,031 上海凯联 新,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_031_上海凯联 新,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,high,calibration,"score=17, rich_clinical_data",,high,"files=5113, pdf=3683, docx=957, cer=523, sota=766"
PROJECT_032_三诺生物,032 三诺生物,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_三诺生物,glucose_monitor,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,medium,stress,"score=17, rich_clinical_data",,high,"files=1881, pdf=1268, docx=461, cer=1176, sota=22"
PROJECT_033_杭州微泰,033 杭州微泰,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_杭州微泰,glucose_monitor,yes,yes,yes,maybe,yes,yes,yes,no,yes,yes,no,yes,no,yes,unknown,unknown,,,high,"files=142, pdf=37, docx=66, cer=26, sota=5"
PROJECT_034_普美康,034 普美康,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_普美康,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,no,no,unknown,unknown,,,high,"files=1503, pdf=686, docx=535, cer=36, sota=5"
PROJECT_035_成都美创,035 成都美创,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_035_成都美创,medical_device,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,maybe,no,no,unknown,unknown,,,high,"files=360, pdf=275, docx=48, cer=204, sota=122"
PROJECT_036_成都美创,036 成都美创,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_036_成都美创,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,no,yes,unknown,unknown,,,high,"files=1012, pdf=542, docx=364, cer=118, sota=182"
PROJECT_037_广东汇通,037 广东汇通,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_广东汇通,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=1473, pdf=766, docx=430, cer=205, sota=309"
PROJECT_038_苏州立普,038 苏州立普,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_038_苏州立普,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=4382, pdf=3477, docx=581, cer=246, sota=670"
PROJECT_039_鑫君特,039 鑫君特,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_039_鑫君特,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,high,calibration,"score=18, rich_clinical_data",,high,"files=7050, pdf=4472, docx=2045, cer=417, sota=636"
PROJECT_040_苏州晶乐,040 苏州晶乐,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_040_苏州晶乐,medical_device,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,maybe,no,no,unknown,unknown,,,high,"files=1345, pdf=816, docx=407, cer=40, sota=180"
PROJECT_041_湖北高德,041 湖北高德,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_湖北高德,medical_device,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,unknown,unknown,,,high,"files=747, pdf=480, docx=184, cer=171, sota=95"
PROJECT_042_安徽巨目,042 安徽巨目,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_042_安徽巨目,ophthalmic,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=968, pdf=621, docx=223, cer=117, sota=127"
PROJECT_043_北京壹点灵动,043 北京壹点灵动,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_043_北京壹点灵动,medical_device,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,unknown,unknown,,,high,"files=1750, pdf=1094, docx=385, cer=173, sota=190"
PROJECT_044_江西三鑫,044 江西三鑫,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_044_江西三鑫,dialysis,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,unknown,unknown,,,high,"files=1295, pdf=1130, docx=122, cer=1291, sota=287"
